sku,product_name,category,retail_price_idr
SKU-101,Beras Premium 5KG,Groceries,75000
SKU-102,Minyak Goreng Refill 2L,Groceries,36000
SKU-103,Gula Pasir Kristal 1KG,Groceries,18500
SKU-104,Susu UHT Cokelat 1L,Groceries,21000
SKU-105,Kopi Bubuk Arabika 250g,Groceries,45000
SKU-201,Smart LED Bulb 10W,Home & Living,65000
SKU-202,Panci Stainless Steel 24cm,Home & Living,145000
SKU-203,Pisau Dapur Set 5-in-1,Home & Living,95000
SKU-301,Kaos Polos Cotton Combed,Apparel,55000
SKU-302,Kemeja Formal Oxford,Apparel,165000
